Title,Time_Created,Category,Teaser
Manager conned half a million in non-existent bauxite AP scam,"Apr 19, 2021 @ 1:00pm",CRIME & COURTS,"KUANTAN: Five years ago, a 52-year-old company manager forked out some RM512,000 hoping to secure the approved permit (AP) or export licence for bauxite mining activities through a middleman."
"Director, among 5 detained over filming of Raya-themed video promoting online gambling","Apr 19, 2021 @ 10:13am",CRIME & COURTS,"KUALA LUMPUR: Five individuals, including a director, composer and singer of a song in a video that promotes online gambling were arrested by the police yesterday."
Eight nabbed over fight at Rawang restaurant,"Apr 19, 2021 @ 8:40am",CRIME & COURTS,KUALA LUMPUR: Eight men were arrested by the police yesterday to assist in the investigation of a fight at a restaurant in Rawang that occurred early in the morning.
Klang police to question businessman over assault on bodyguards,"Apr 18, 2021 @ 4:07pm",CRIME & COURTS,KLANG: The Klang Magistrate’s Court here has issued a five-day remand order on an employer who allegedly beat up his two personal bodyguards for fasting starting today.
Cops to seize illegally-acquired property of man who assaulted bodyguards,"Apr 18, 2021 @ 3:45pm",CRIME & COURTS,"SHAH ALAM: Police are taking steps to confiscate the property illegally acquired by a man who allegedly assaulted his two bodyguards for fasting, said Selangor police chief Datuk Arjunaidi Mohamed."
Raya-themed gambling ads: 13 arrested so far,"Apr 18, 2021 @ 3:18pm",CRIME & COURTS,PUTRAJAYA: A total of 13 arrests have been made in connection with the two Hari Raya-themed video advertisements promoting online gambling activities.
Suspect in police constable's death remanded,"Apr 18, 2021 @ 2:23pm",CRIME & COURTS,"GEORGE TOWN: Police have obtained one-week remand order against a suspect to facilitate investigations into the death of a police constable, here, yesterday."
Constable killed while pursuing suspected criminal,"Apr 17, 2021 @ 11:39pm",CRIME & COURTS,"GEORGE TOWN: A police constable was killed in the line of duty early this morning while chasing a suspected criminal at Jalan Utama, here."
Former cop arrested on suspicion of slander,"Apr 17, 2021 @ 11:06pm",CRIME & COURTS,"KUALA LUMPUR: A former police officer, believed to have been spreading slanderous allegations involving a cartel group and Bukit Aman's Anti-Vice, Gambling and Secret Societies Division (D7) on social media, was arrested yesterday."
Police on the hunt for gambling Raya ad mastermind,"Apr 17, 2021 @ 7:20pm",CRIME & COURTS,KUALA LUMPUR: Police are tracking down a 35-year-old man believed to be the mastermind behind two Hari Raya themed video advertisements which promoted gambling.
Another Hari Raya video promoting gambling surfaces,"Apr 17, 2021 @ 3:50pm",CRIME & COURTS,"KUALA LUMPUR: Barely days after a Hari Raya Aidilfitri-themed video promoting gambling activities was released, another one surfaced on social media today."
"GOF seizes smuggled rice worth RM138,800 in Tanah Merah","Apr 17, 2021 @ 12:49pm",CRIME & COURTS,"RANTAU PANJANG: The General Operations Force (GOF) seized 34,700kg of smuggled rice worth about RM138,000 early today."
2 Indonesians nabbed for entering Sabah illegally,"Apr 17, 2021 @ 12:43pm",CRIME & COURTS,KOTA KINABALU: The armed forces yesterday foiled an attempt by two Indonesian men to illegally enter Sabah for the second time.
Eight nabbed for involvement in gambling Raya video,"Apr 17, 2021 @ 10:14am",CRIME & COURTS,KUALA LUMPUR: Police detained eight people in connection with a controversial viral video which allegedly promoted gambling activities in conjunction with the Hari Raya Aidilfitri celebration.
Eight nabbed for involvement in gambling Raya video,"Apr 17, 2021 @ 10:14am",CRIME & COURTS,KUALA LUMPUR: Police detained eight people in connection with a controversial viral video which allegedly promoted gambling activities in conjunction with the Hari Raya Aidilfitri celebration.
"Customs seize smuggled cigarettes worth over RM4mil in Johor, Pahang","Apr 16, 2021 @ 10:01pm",CRIME & COURTS,"JOHOR BARU: The Johor Customs Department seized contraband cigarettes of various brands worth more than RM4 million through four separate raids in the city, Segamat, and Pahang, last Friday and Saturday."
"Man held under Sosma for sabotage on water services granted RM50,000 bail","Apr 16, 2021 @ 6:15pm",CRIME & COURTS,"PUTRAJAYA: A company director who is held under the Security Offences (Special Measures) Act (Sosma) 2012 on a charge of committing sabotage on water services in Selangor was granted bail of RM50,000 by the Court of Appeal today."
Woman loses RM2.7 million in love scam to 'American pilot',"Apr 16, 2021 @ 6:07pm",CRIME & COURTS,KUALA LUMPUR: A forty-four-year-old woman lost nearly her entire life savings of RM2.7 million to an 'American pilot' she met on a social networking site.
Perak businessman falls victim to get-rich-quick scam,"Apr 16, 2021 @ 4:45pm",CRIME & COURTS,"IPOH: Despite casting initial doubt over a get-rich-quick scheme, a 28-year-old man neverthelesss proceeded with his investment and ended up poorer by over RM150,000."
71-year-old woman loses RM18k in love scam,"Apr 16, 2021 @ 4:18pm",CRIME & COURTS,"MELAKA: A 71-year-old woman fell victim to an online love scam before losing RM18,000 to a syndicate operating via social media."
"Cops to call up producers, actors of gambling Raya ad","Apr 16, 2021 @ 3:28pm",CRIME & COURTS,KUALA LUMPUR: Police will call up the producers and actors involved in a video promoting gambling activities using Hari Raya Aidilfitri as the theme which has since gone viral on social media platforms.
Teen and widower nabbed on suspicion of selling drugs,"Apr 16, 2021 @ 3:19pm",CRIME & COURTS,"MELAKA: A 16-year-old secondary school dropout and her alleged widower boyfriend were arrested with RM16,000 worth of drugs at Lorong Paya Sum, Sungai Udang, here, early this morning."
MCMC to act against gambling Raya ad,"Apr 16, 2021 @ 3:10pm",CRIME & COURTS,KUALA LUMPUR: The Malaysian Communications and Multimedia Commission (MCMC) will act against the offensive Hari Raya advertisement said to promote online gambling activities.
Najib's bid for documents vital to his 1MDB case to be heard on May 31,"Apr 16, 2021 @ 2:18pm",CRIME & COURTS,KUALA LUMPUR: The High Court will on May 31 hear Datuk Seri Najib Razak's bid to get hold of the documents related to 1Malaysia Development Bhd (1MDB) involving the United States investment bank Goldman Sachs and former Bank Negara Malaysia (BNM) governor Tan Sri Dr Zeti Akhtar Aziz's family.
Jobless man charged with abusing girlfriend's baby,"Apr 16, 2021 @ 2:10pm",CRIME & COURTS,BUTTERWORTH: An unemployed man pleaded not guilty in the Sessions Court here today to a charge of abusing his girlfriend’s seven-month-old son.
"Police deny gangsters, extortion involved in restaurant brawl","Apr 16, 2021 @ 12:20pm",CRIME & COURTS,IPOH: Not gangsters from Tapah nor were there any elements of extortion involved in a brawl that occurred at a restaurant here on Monday night.
Cops investigating threat against Sarawak DCM made by 'school kid',"Apr 16, 2021 @ 12:06pm",CRIME & COURTS,KUCHING: Police have opened an investigation paper over threats against Sarawak Deputy Chief Minister Datuk Amar Douglas Uggah Embas made by a Facebook user yesterday.
"Man arrested for abusing, threatening to kill two children in viral video","Apr 15, 2021 @ 9:58pm",CRIME & COURTS,"TAWAU: Police arrested an Indonesian man in Kampung Andung in Jalan Kabogan, Semporna today, after he was believed to have stepped on and threatened to kill his two children in an incident in Ulu Balung near here."
Police bust syndicate stealing frozen meat,"Apr 15, 2021 @ 8:26pm",CRIME & COURTS,"BUKIT MERTAJAM: Police have busted a syndicate involved in stealing frozen meat, following the arrest of four men in Senai, Johor yesterday and seizure of 395 boxes of frozen mutton and buffalo meat stolen from a shop in Taman Inderawasih, here, recently."
ESSCom identifies KFR informers,"Apr 15, 2021 @ 7:13pm",CRIME & COURTS,SEMPORNA: The Eastern Sabah Security Command (ESSCom) has identified the informers who helped the kidnap for ransom (KFR) groups in the waters off eastern Sabah.
"Cops uncover illegal gambling, money lending activities in fasting bodyguards assault case","Apr 15, 2021 @ 5:36pm",CRIME & COURTS,KLANG: The arrest of four individuals who allegedly assaulted two bodyguards for fasting yesterday has led to the discovery of illegal gambling activities and a money lending syndicate run by the employer.
'Apandi actually held up proof of wrongdoing while declaring Najib's innocence',"Apr 15, 2021 @ 3:00pm",CRIME & COURTS,"PUTRAJAYA: The press conference held by former Attorney General Tan Sri Mohamed Apandi Ali to clear Datuk Seri Najib Razak of any wrongdoing in the SRC International Sdn Bhd case in 2016 had actually blown up in his face and cast doubt on his integrity, the Court of Appeal heard today."
Hotel cook pleads guilty to possession of IS-related items,"Apr 15, 2021 @ 2:41pm",CRIME & COURTS,KUALA LUMPUR: A cook who worked at a hotel in Singapore smiled as he was sentenced to three years' jail by the High Court for possessing terrorism-related propaganda materials.
Foreign fishermen encroaching into Malaysian waters at Mantanani,"Apr 15, 2021 @ 2:01pm",CRIME & COURTS,KOTA BELUD: Mantanani island which has been proposed as a marine park has since become a target for foreign fishing vessels.
Foreign fishermen encroaching into Malaysian waters at Mantanani,"Apr 15, 2021 @ 2:01pm",CRIME & COURTS,KOTA BELUD: Mantanani island which has been proposed as a marine park has since become a target for foreign fishing vessels.
Caught with 395 boxes of frozen meat,"Apr 15, 2021 @ 1:56pm",CRIME & COURTS,"PRAI: The modus operandi of four men from the south, who were looking for premises selling frozen meat through Facebook and Google to break into, failed when they were caught yesterday afternoon."
Pahang student coaxed into paying over RM6k in bogus loan scam,"Apr 15, 2021 @ 1:06pm",CRIME & COURTS,"KUANTAN: He only wanted to borrow RM1,000 but was forced to go through a ""terrorising"" experience including being scolded by a bogus online loan syndicate before losing RM6,360."
Pejuang's case on its registration to be heard May 31,"Apr 15, 2021 @ 12:56pm",CRIME & COURTS,"KUALA LUMPUR: The High Court will hear the judicial review application by Parti Pejuang Tanah Airku (Pejuang) to challenge the Registrar of Societies' (RoS) delay in approving the party's registration, on May 31."
"Smugglers cashing in on demand for Thai rice during Ramadan, Aidilfitri","Apr 15, 2021 @ 12:05pm",CRIME & COURTS,TANAH MERAH: Smugglers operating along the Kelantan/Thai border have started bringing in Thai rice to meet the demand for the fasting month and Hari Raya Aidilfitri.
'SRC was a sham set up as Najib's personal ATM',"Apr 15, 2021 @ 11:18am",CRIME & COURTS,"PUTRAJAYA: The setting up of SRC International Sdn Bhd had nothing to do with national interest considerations but was instead an intentional, deliberate and calculated plan engineered by Datuk Seri Najib Razak for personal benefit, the Court of Appeal heard today."
Driving against flow: Four injured in three-vehicle crash,"Apr 15, 2021 @ 10:33am",CRIME & COURTS,"BUTTERWORTH: Four people, including a family of three, were rushed to the Seberang Jaya Hospital here last night with serious injuries following an accident involving three vehicles."
"Woman stabbed at home, children unharmed","Apr 15, 2021 @ 8:58am",CRIME & COURTS,"IPOH: A 31-year-old woman died after she was stabbed by a 23-year-old man believed to be her boyfriend at her home in Taman Perpaduan, Tambun here last night."
Dhaya Maju-LTAT gets green light for judicial review over termination of KVDT2 project contract,"Apr 14, 2021 @ 6:39pm",CRIME & COURTS,KUALA LUMPUR: The High Court today allowed a judicial review initiated by Dhaya Maju-LTAT Sdn Bhd against the government’s decision to terminate its Klang Valley Double Tracking 2 (KVDT2) project contract.
Johor cops widen probe into Nicky Gang; no plan to reveal personnel link to gang,"Apr 14, 2021 @ 4:55pm",CRIME & COURTS,JOHOR BARU: Johor police have no plan to reveal the list of police officers and personnel allegedly involved with organised criminal group 'Nicky Gang' led by fugitive Datuk Seri Nicky Liow Soon Hee.
4 Johor cops nabbed for extortion,"Apr 14, 2021 @ 3:57pm",CRIME & COURTS,"JOHOR BARU: A senior officer and three policemen from the Batu Pahat district police headquarters were arrested, for allegedly extorting money from a furniture factory manager on Thursday."
Sithambaram rips into Najib's arguments for acquittal,"Apr 14, 2021 @ 3:32pm",CRIME & COURTS,PUTRAJAYA: The three judges hearing Datuk Seri Najib Razak's appeal to overturn his 12 year jail sentence and RM210 million fine for abuse of SRC International Sdn Bhd funds were today enlightened on the overwhelming evidence which had led to the former prime minister's conviction.
Guan Eng wants RM21 million from RPK,"Apr 14, 2021 @ 1:51pm",CRIME & COURTS,KUALA LUMPUR: Former finance minister Lim Guan Eng is demanding RM21 million from Raja Petra Raja Kamarudin for defaming him in articles written by the blogger in relation to the Penang undersea tunnel project.
"Audio clip on Kelantan imposing MCO fake news, says CPO","Apr 14, 2021 @ 12:15pm",CRIME & COURTS,"KOTA BARU: The audio clip featuring a man claiming Kelantan will be placed under the Movement Control Order (MCO) from April 14 to 21 is fake news, the police said."
"GOF arrest two, seize contraband alcohol worth RM750,000","Apr 14, 2021 @ 12:11pm",CRIME & COURTS,"KUALA LUMPUR: The Central Brigade General Operations Force arrested two men and seized 906 boxes of illegal alcohol worth RM750,939, at a house near Taman Oversea Union, here, yesterday."
Shafee trains his guns on SRC trial judge again,"Apr 13, 2021 @ 6:50pm",CRIME & COURTS,PUTRAJAYA: Tan Sri Muhammad Shafee Abdullah today again trained his sights on the High Court judge who convicted Datuk Seri Najib Razak of all seven charges in his SRC International Sdn Bhd trial.
"Maqis seizes 2,826 boxes of frozen buffalo meat from India","Apr 13, 2021 @ 6:21pm",CRIME & COURTS,"BUTTERWORTH: The Malaysian Quarantine and Inspection Services Department (Maqis) seized 2,826 boxes of frozen buffalo meat from India at the North Butterworth Container Terminal (NBCT) here yesterday."
"19, including 7 women, detained for illegal gambling","Apr 13, 2021 @ 5:03pm",CRIME & COURTS,"BUTTERWORTH: Police detained 19 people, including seven women, for online gambling in raids on several premises in Butterworth and Mak Mandin two days ago."
"1,900kg of wheat flour seized in Teluk Kumbar","Apr 13, 2021 @ 4:34pm",CRIME & COURTS,"GEORGE TOWN: The Domestic Trade and Consumer Affairs Ministry seized 1,900kg of wheat flour during an inspection at food-producing premises in Teluk Kumbar here yesterday, on suspicion of hoarding the goods."
"Name, fate of cops linked with Gang Nicky to be known tomorrow","Apr 13, 2021 @ 4:23pm",CRIME & COURTS,"JOHOR BARU: State police chief Datuk Ayob Khan Mydin Pitchay is expected to call for a press conference tomorrow (Wednesday) and explain in great length the issue involving the names of policemen allegedly involved with Gang Nicky and its leader, Datuk Seri Nicky Liow Soon Hee."
"Name, fate of cops linked with Gang Nicky to be known tomorrow","Apr 13, 2021 @ 4:23pm",CRIME & COURTS,"JOHOR BARU: State police chief Datuk Ayob Khan Mydin Pitchay is expected to call for a press conference tomorrow (Wednesday) and explain in great length the issue involving the names of policemen allegedly involved with Gang Nicky and its leader, Datuk Seri Nicky Liow Soon Hee."
JIPS yet to receive names of cops linked with Gang Nicky,"Apr 13, 2021 @ 3:18pm",CRIME & COURTS,"KUALA LUMPUR: The Federal police are still waiting for the names of policemen allegedly involved in colluding with Gang Nicky and its leader, Datuk Seri Nicky Liow Soon Hee."
Ex-airport officer claims trial to cheating tenant for five years,"Apr 13, 2021 @ 1:10pm",CRIME & COURTS,"KOTA KINABALU: A former chief executive officer claimed trial to accepting RM43,000 from a company manager for favours related to the rental of a business site."
"Najib already paid the price in GE14, lawyer argues","Apr 13, 2021 @ 12:55pm",CRIME & COURTS,"PUTRAJAYA: The trial judge who convicted Datuk Seri Najib Razak had gone out of his way to hold the former prime minister accountable for abuse of power by using criminal law standards, the Pekan member of parliament's lawyer argued at the Court of Appeal here today."
DIG: Police request Interpol's help to locate Nicky Liow,"Apr 12, 2021 @ 7:51pm",CRIME & COURTS,KUALA LUMPUR: Malaysian police have requested Interpol’s help via a Blue Notice to locate and arrest fugitive businessman Datuk Seri Nicky Liow Soon Hee on suspicion of masterminding an organised crime group in the country.
"Family-run drug syndicate busted in Bera, Ipoh","Apr 12, 2021 @ 7:18pm",CRIME & COURTS,"KUANTAN: A family-run drug processing syndicate's reign came to an end after police busted its members, including a couple, in two locations within 24 hours last week."
Ex-spy chief granted DNAA after prosecution decides to withdraw CBT charge,"Apr 12, 2021 @ 5:34pm",CRIME & COURTS,"KUALA LUMPUR: After six days of trial, the prosecution in former Malaysian External Intelligence Organisation (MEIO) chief Datuk Hasanah Ab Hamid's RM50.4 million criminal breach of trust (CBT) case has decided not to prosecute her any further."
Main suspects in Macau scam syndicate charged,"Apr 12, 2021 @ 5:23pm",CRIME & COURTS,KUALA LUMPUR: The main suspects in the Macau Scam syndicate and online gambling activities were today charged with committing money laundering involving RM2.14 million.
Najib's lawyers need one more day to wrap up SRC appeal,"Apr 12, 2021 @ 4:53pm",CRIME & COURTS,PUTRAJAYA: Lawyers representing Datuk Seri Najib Razak today asked for another day to wrap up their arguments on why he should be freed from the 12-year jail sentence and RM210 million fine imposed on him by the High Court last year.
Abdul Azeez's money laundering trial postponed,"Apr 12, 2021 @ 12:41pm",CRIME & COURTS,KUALA LUMPUR: The ongoing trial of former Tabung Haji chairman Datuk Seri Abdul Azeez Abdul Rahim on three counts of receiving kickbacks and 10 money-laundering charges pertaining to road projects has been postponed.
"When ex-CJ, former AG turn witnesses in court","Apr 12, 2021 @ 11:01am",CRIME & COURTS,KUALA LUMPUR: To say that the “tables have turned” would be too extreme to describe the attendance of two legal minds in the Kuala Lumpur Courts last week – albeit in the witness box.
Vape liquid worth more than RM300k seized at Kelantan border,"Apr 12, 2021 @ 10:50am",CRIME & COURTS,"TANAH MERAH: The General Operations Force (GOF) foiled an attempt to smuggle vape liquid to Thailand with the seizure of bottles and cartridges of the contraband valued at more than RM300,000 yesterday."
Police expose 19 distributors involved in imported meat cartel activities,"Apr 12, 2021 @ 10:06am",CRIME & COURTS,JOHOR BARU: A total of 19 cold distribution companies were found to be involved in imported meat cartel activities in an operation conducted in six states simultaneously two days ago (April 9).
Charred remains of man found in oil palm plantation,"Apr 11, 2021 @ 4:08pm",CRIME & COURTS,NIBONG TEBAL: The charred remains of a male victim was found sprawled in an oil palm plantation behind a factory in Jalan Bukit Panchor here yesterday.
Penang cook arrested for 'pushing wife out of the window',"Apr 11, 2021 @ 1:11pm",CRIME & COURTS,GEORGE TOWN: A cook has been detained on suspicion of pushing his wife to her death from the 18th floor of their Bukit Awana Condominium unit in Air Itam here following a fight.
"Police, TNB bust bitcoin mining operation in Bahau","Apr 11, 2021 @ 12:05pm",CRIME & COURTS,"JEMPOL: Police busted a syndicate stealing electricity supply to carry out Bitcoin mining activities in raids on five shop lots around Bahau, which resulted in the seizure of RM380,000 worth of mining machines."
RM2mil worth of syabu seized near Kelantan border,"Apr 10, 2021 @ 9:18pm",CRIME & COURTS,PASIR MAS: The Eighth Infantry Brigade seized 61kg of syabu worth RM2.19 million in Rantau Panjang last night.
4 Ah Long syndicates busted; 29 nabbed in Penang and Perak,"Apr 10, 2021 @ 8:57pm",CRIME & COURTS,"BUKIT MERTAJAM: Police crippled four Ah Long syndicates offering unlicensed money lending with high interests following the arrest of 29 individuals, including a woman, in 12 raids around Penang and Perak on Thursday."
Kelantan MMEA seizes sea cucumbers in Tok Bali,"Apr 10, 2021 @ 2:53pm",CRIME & COURTS,PASIR PUTEH: The Malaysian Maritime Enforcement Agency (MMEA) detained three foreign fishermen encroaching Malaysian waters to harvest sea cucumbers yesterday.
Cops investigating slapping incident involving Year One pupil at Kulai school,"Apr 9, 2021 @ 10:14pm",CRIME & COURTS,KULAI: Police here have opened an investigation into an incident where a Year One pupil was injured after being slapped by a teacher at a religious school here.
Cops investigating slapping incident involving Year One pupil at Kulai school,"Apr 9, 2021 @ 10:14pm",CRIME & COURTS,KULAI: Police here have opened an investigation into an incident where a Year One pupil was injured after being slapped by a teacher at a religious school here.
Two Immigration officers remanded as probe continues over issuance of falsified PLKS,"Apr 9, 2021 @ 8:24pm",CRIME & COURTS,"PUTRAJAYA: Two Immigration Department officers have been remanded for seven days to assist investigations into the issuing of 21,378 falsified Temporary Employment Visit Passes (PLKS)."
Two men hurt in fight over RM800 debt,"Apr 9, 2021 @ 8:13pm",CRIME & COURTS,"GEORGE TOWN: Two men were injured after they were involved in a fight, all because of debt repayment issue, at the lobby of a suite at Jalan Pangkor, here, early this morning."
Hired killer behind traditional healer's murder?,"Apr 9, 2021 @ 7:14pm",CRIME & COURTS,"TEMERLOH: Police believed a hired killed had shot dead a traditional medical practitioner at his home in Bukit Rangin Perdana 2, Kuantan on Sunday."
Kit Siang tells court he did not lodge report against Apandi,"Apr 9, 2021 @ 6:03pm",CRIME & COURTS,KUALA LUMPUR: DAP adviser Lim Kit Siang told the High Court today that he did not lodge a police report against former Attorney-General (AG) Tan Sri Mohamed Apandi Ali in regards to the 1Malaysia Development Bhd (1MDB) scandal.
"Contraband cigarettes worth RM855,000 seized in Penang","Apr 9, 2021 @ 5:23pm",CRIME & COURTS,"KUALA LUMPUR: Police foiled an illicit cigarette trafficking syndicate in Penang with the seizure of 1,140,000 sticks cigarettes worth RM855,000 during a raid at a store in Kampung Selamat, Tasek Gelugor in Penang yesterday."
"Nicky Liow still in Malaysia, says IGP","Apr 9, 2021 @ 5:11pm",CRIME & COURTS,MELAKA: Police believe that wanted fugitive/businessman Datuk Seri Nicky Liow Soon Hee is still in the country.
Travel permit abuse: 'Mom' turned out to be ketum leaves,"Apr 9, 2021 @ 3:48pm",CRIME & COURTS,GUA MUSANG: A man’s attempt to bend the truth about his interstate trip was foiled after the police caught him trying to transport 160kg of ketum leaves to Kelantan.
Cops investigating audio clip of alleged Anwar-Zahid phone call,"Apr 9, 2021 @ 3:39pm",CRIME & COURTS,KUALA LUMPUR: Police have opened an investigation paper (IP) over the audio recording of a phone conversation allegedly between Umno president Datuk Seri Dr Ahmad Zahid Hamidi and PKR president Datuk Seri Anwar Ibrahim.
Stern action against power abuse concerning interstate travel,"Apr 9, 2021 @ 3:36pm",CRIME & COURTS,"PETALING JAYA: Stern action will be taken against enforcement personnel found to have abused their position in interstate travel permission matters, said Senior Minister (Security Cluster) Datuk Seri Ismail Sabri Yaakob."
14 'Geng Nicky' members charged,"Apr 9, 2021 @ 2:16pm",CRIME & COURTS,"KUALA LUMPUR: 14 people, including four Chinese nationals, were charged at the Petaling Jaya Sessions Court with being members of an organised crime group called “Geng Nicky”."
"Maqis seizes 3,748 boxes of frozen buffalo meat from India","Apr 9, 2021 @ 1:29pm",CRIME & COURTS,"BUTTERWORTH: The Malaysian Quarantine and Inspection Services Department (Maqis) seized 3,748 boxes of frozen buffalo meat from India at the North Butterworth Container Terminal (NBCT), here."
"Maqis seizes frozen chicken and sausages worth over RM50,000","Apr 9, 2021 @ 1:14pm",CRIME & COURTS,"KOTA BARU: The Malaysian Quarantine and Inspection Services Department (Maqis) foiled an attempt to distribute frozen chicken and sausages in the state after it seized the smuggled items worth more than RM50,000 recently."
Fugitive Datuk Seri Nicky charged in absentia,"Apr 9, 2021 @ 1:06pm",CRIME & COURTS,JOHOR BARU: 'Geng Nicky' leader Datuk Seri Nicky Liow Soon Hee along with 15 other members were charged at the Petaling Jaya Sessions Court today.
Bukit Aman: Online jewellery scams on the rise,"Apr 8, 2021 @ 10:18pm",CRIME & COURTS,"KUALA LUMPUR: The number of online jewellery scam cases have risen, with 37 cases involving losses amounting to RM239,530 recorded in the first three months this year."
"Smuggled rice, immitation jeans worth more than RM70,000 seized","Apr 8, 2021 @ 8:57pm",CRIME & COURTS,"RANTAU PANJANG: The General Operations Force (GOF) seized smuggled rice and immitation jeans worth more than RM70,000 early today."
GOF distributes Nicky Liow's photographs along Kelantan border,"Apr 8, 2021 @ 7:07pm",CRIME & COURTS,RANTAU PANJANG: The General Operations Force (GOF) has distributed the pictures of fugitive businessman Datuk Seri Nicky Liow Soon Hee to motorists who passed through its 26 roadblocks and front control posts.
'RM4 billion taken out of country was an act of theft',"Apr 8, 2021 @ 6:29pm",CRIME & COURTS,"PUTRAJAYA: Lawyers representing Datuk Seri Najib Razak said RM4 billion given to SRC International which was later moved out of the country, was nothing but an act of theft by insiders in the company."
Kit Siang admits having no knowledge of details in 1MDB investigation paper,"Apr 8, 2021 @ 6:17pm",CRIME & COURTS,KUALA LUMPUR: DAP advisor Lim Kit Siang admitted that he had no knowledge of details concerning investigations into the 1Malaysia Development Bhd (1MDB) scandal when he wrote an article about it.
Najib to file stay order against bankruptcy notice,"Apr 8, 2021 @ 6:09pm",CRIME & COURTS,PUTRAJAYA: Datuk Seri Najib Razak will be filing a stay order against the bankruptcy notice served on him following his failure to pay RM1.69 billion in additional income tax arrears being demanded by the Inland Revenue Board (IRB).
Najib to file stay order against bankruptcy notice,"Apr 8, 2021 @ 6:09pm",CRIME & COURTS,PUTRAJAYA: Datuk Seri Najib Razak will be filing a stay order against the bankruptcy notice served on him following his failure to pay RM1.69 billion in additional income tax arrears being demanded by the Inland Revenue Board (IRB).
Ex-PAIP manager back in court over fresh graft charges [NSTTV],"Apr 8, 2021 @ 2:56pm",CRIME & COURTS,KUANTAN: A former Pengurusan Air Pahang Berhad (PAIP) procurement manager who last year faced 22 graft charges found himself in the dock again today.
Paul Yong's rape trial postponed,"Apr 8, 2021 @ 1:53pm",CRIME & COURTS,"IPOH: The High Court today postponed the rape trial involving former state executive councillor, Paul Yong Choo Kiong to June and July this year."
Motorist rams into cop on Federal Highway,"Apr 8, 2021 @ 12:21pm",CRIME & COURTS,"KUALA LUMPUR: A policeman suffered injuries to his left leg during a surprise spot-check along the motorcycle lane of the Federal Highway heading towards Shah Alam here today, as a motorcyclist rammed into him in an attempt to flee."
"Stop repeating the same thing over and over, Najib's lawyers reminded","Apr 8, 2021 @ 10:01am",CRIME & COURTS,PUTRAJAYA: Lawyers representing Datuk Seri Najib Razak were today reminded not to go on and on repeating the same arguments in trying to convince the Court of Appeal to overturn the jail sentence and fine imposed on the former prime minister.
Teenager arrested for faking positive Covid-19 test,"Apr 7, 2021 @ 9:12pm",CRIME & COURTS,ISKANDAR PUTERI: Police have arrested a 19-year-old girl for faking a Covid-19 swab test result.
"Apandi cries in court, says he had been condemned as AG","Apr 7, 2021 @ 7:32pm",CRIME & COURTS,KUALA LUMPUR: Former attorney-general (AG) Tan Sri Mohamed Apandi Ali could not control his emotions and cried in the courtroom today.
More arrests expected in 'project tender cartel' case,"Apr 7, 2021 @ 5:50pm",CRIME & COURTS,KUALA LUMPUR: The Malaysia Anti-Corruption Commission is expecting to make a few more arrests in connection with the “project tender cartel” investigations.
Only Jho Low can answer why money ended in Najib's accounts,"Apr 7, 2021 @ 5:38pm",CRIME & COURTS,"PUTRAJAYA: The notorious Low Taek Jho @ Jho Low holds the answers to many questions on things that happened in SRC International Bhd that led to Datuk Seri Najib Razak facing a lengthy jail term and mind blowing RM210 million fine, the Court of Appeal heard today."
Police to increase road blocks to prevent people from interstate travel during Ramadan,"Apr 7, 2021 @ 5:34pm",CRIME & COURTS,"NIBONG TEBAL: Police will mount more roadblocks, especially at rat lanes near state borders, to deter people from going back to their hometowns for Ramadan."
"More than 21,000 fake PKLS passes issued with help of ex-Immigration staff","Apr 7, 2021 @ 3:27pm",CRIME & COURTS,"KUALA LUMPUR: Former Immigration Department staff are believed to have played key roles in issuing 21,378 falsified Temporary Employment Visit Pass (PLKS) to foreign workers."
"Kelantan woman loses RM39,000 in e-commerce scam","Apr 7, 2021 @ 12:24pm",CRIME & COURTS,"KOTA BARU: A woman, in her 20s, fell prey to an e-commerce scam for the purchase of a second-hand luxury car from a neighbouring country recently."
"Civil servant, company manager remanded over RM366k false claim","Apr 7, 2021 @ 12:07pm",CRIME & COURTS,SANDAKAN: The Malaysian Anti-Corruption Commission (MACC) has remanded a civil servant and a company manager for making false claims for the 1Malaysia mobile boat clinic.
Maqis seizes margarine product from Ireland,"Apr 7, 2021 @ 12:01pm",CRIME & COURTS,"SHAH ALAM: The Malaysian Quarantine and Inspection Services (Maqis) seized 7,824 kilogrammes of margarine dairy product from Ireland, valued at RM116,211, last Monday following discrepencies found on its import permit."
Apandi grilled over decision to clear Najib of 1MDB wrongdoings,"Apr 6, 2021 @ 9:04pm",CRIME & COURTS,KUALA LUMPUR: Former attorney-general (AG) Tan Sri Mohamed Apandi Ali was put under the hammer over his decision to clear Datuk Seri Najib Razak of any wrongdoing in the 1Malaysia Development Bhd (1MDB) probe five years ago.
Najib served with bankruptcy notice over failure to pay income tax arrears,"Apr 6, 2021 @ 8:43pm",CRIME & COURTS,KUALA LUMPUR: Datuk Seri Najib Razak has been served with a bankruptcy notice following his failure to pay the RM1.69 billion in additional income tax arrears to the Inland Revenue Board (IRB).
"High Court judge bent over backwards to find Najib guilty, claims defence","Apr 6, 2021 @ 8:39pm",CRIME & COURTS,"PUTRAJAYA: The High Court judge who convicted and sentenced Datuk Seri Najib Razak to 12 years’ jail and fined him RM210 million had ""bent over backwards"" to find the former prime minister guilty of offences related to the SRC international Sdn Bhd case."
